"column","district","restaurantName","address","contactInfo","googlereviewlink","openingtime","latitude","longitude","ratingintotaloffive","ratingcategories","restauranttype","restaurantcoverphotourl"
"45","水源街","七嘴八舌韓風滷味","251新北市淡水區水源街二段74巷2號","0903-717-878","https://reurl.cc/Ovl93r","星期一~星期日:15:30–01:00","25.1779513","121.2548552","4.4","4分或以上","滷味店","https://raw.githubusercontent.com/paulLamProgramming/foodmapimageinTamsui/main/%E6%B0%B4%E6%BA%90%E8%A1%97github/%E4%B8%83%E5%98%B4%E5%85%AB%E8%88%8C%E9%9F%93%E9%A2%A8%E6%BB%B7%E5%91%B3/IMG_8171.PNG"
"46","水源街","雞加酒(淡水店)","251新北市淡水區水源街二段98號","(02) 226261212","https://reurl.cc/lD186E","星期一~星期五:11:00-14:00、17:00-23:00/星期六、星期日:17:00-23:00","25.1744632","121.449588","4.1","4分或以上","炸物店","https://raw.githubusercontent.com/paulLamProgramming/foodmapimageinTamsui/main/%E6%B0%B4%E6%BA%90%E8%A1%97github2/%E9%9B%9E%E5%8A%A0%E9%85%92(%E6%B7%A1%E6%B0%B4%E5%BA%97)/S__381780016.jpg"
"47","水源街","碳烤王","251新北市淡水區水源街二段94號","無","https://reurl.cc/r5ep71","星期一~星期六:18:00-23:30/星期日:休息","25.1744162","121.4492433","4.3","4分或以上","串燒烤肉店","https://raw.githubusercontent.com/paulLamProgramming/foodmapimageinTamsui/main/%E6%B0%B4%E6%BA%90%E8%A1%97github2/%E7%A2%B3%E7%83%A4%E7%8E%8B/S__381673474.jpg"
"48","水源街","伍蝶","251新北市淡水區水源街二段82號","(02) 226294187","https://reurl.cc/658W65","星期一~星期五、星期日:18:00-3:30/星期六:休息","25.1742556","121.4490965","4","4分或以上","台式料理店","https://github.com/paulLamProgramming/foodmapimageinTamsui/blob/main/%E6%B0%B4%E6%BA%90%E8%A1%97github/%E4%BC%8D%E8%9D%B6/S__381779998.jpg?raw=true"
"49","水源街","讚牛排","251新北市淡水區水源街二段96號","0958-168-917","https://reurl.cc/DA0aVO","星期一~星期日:11:00-15:30、16:30-23:00","25.174373","121.4495309","4.2","4分或以上","美式扒房","https://github.com/paulLamProgramming/foodmapimageinTamsui/blob/main/%E6%B0%B4%E6%BA%90%E8%A1%97github/(%E6%9C%89%E6%94%B9%E5%9C%96%E7%89%87)%E8%AE%9A%E7%89%9B%E6%8E%92/%E8%AE%9A%E7%89%9B%E6%8E%924.jpg?raw=true"
"50","水源街","紅茶洋行 淡大店","251新北市淡水區水源街二段116號","0925-595-182","https://reurl.cc/651rzk","星期一~星期日:11:00-23:00","25.1743894","121.4501684","4.5","4.5分或以上","冰品飲料店","https://raw.githubusercontent.com/paulLamProgramming/foodmapimageinTamsui/main/%E6%B0%B4%E6%BA%90%E8%A1%97github/%E7%B4%85%E8%8C%B6%E6%B4%8B%E8%A1%8C%20%E6%B7%A1%E5%A4%A7%E5%BA%97/IMG_8180.PNG"
"51","水源街","禎饌廚房","251新北市淡水區水源街二段40號1樓","(02) 226203250","https://reurl.cc/dDYRY2","星期一~星期日:11:00-20:30","25.1736882","121.4477735","4.4","4分或以上","義式料理餐廳","https://github.com/paulLamProgramming/foodmapimageinTamsui/blob/main/%E6%B0%B4%E6%BA%90%E8%A1%97github2/%E7%A6%8E%E9%A5%8C%E5%BB%9A%E6%88%BF/%E7%8F%8D%E9%A5%8C1.jpg?raw=true"
"52","水源街","漁川食堂","251新北市淡水區水源街二段74巷20號","0909-550-900","https://reurl.cc/QXM0Mo","星期二~星期日:11:30-14:00、17:00-21:00/星期一:17:00–21:00","25.173677","121.4494792","4.4","4分或以上","日式料理餐廳","https://github.com/paulLamProgramming/foodmapimageinTamsui/blob/main/%E6%B0%B4%E6%BA%90%E8%A1%97github/%E6%BC%81%E5%B7%9D%E9%A3%9F%E5%A0%82/S__381780012.jpg?raw=true"
"53","水源街","Buona Pasta(水源店)","251新北市淡水區水源街二段92巷5弄2號","(02) 226293083","https://reurl.cc/QXM0M0","星期一~星期日:11:30-15:00、17:00-21:00","25.173849","121.4493721","4.6","4.5分或以上","義式料理餐廳","https://github.com/paulLamProgramming/foodmapimageinTamsui/blob/main/%E6%B0%B4%E6%BA%90%E8%A1%97github/bunoa%20pasta%E6%B0%B4%E6%BA%90%E5%BA%97/bunoa%20pasta1.jpg?raw=true"
"54","水源街","精品雞排-水源店","251新北市淡水區水源街二段74巷27號","(02) 226255802","https://reurl.cc/dDE6Nk","星期一~星期五、星期日:15:00–01:00/星期六:休息","25.1738576","121.4494876","4.6","4.5分或以上","炸物店","https://raw.githubusercontent.com/paulLamProgramming/foodmapimageinTamsui/main/%E6%B0%B4%E6%BA%90%E8%A1%97github2/%E7%B2%BE%E5%93%81%E9%9B%9E%E6%8E%92-%E6%B0%B4%E6%BA%90%E5%BA%97/IMG_8190.PNG"
